healpix, glon, glat, ra, dec
211, 158.82269, -23.51794, 50.62500, 28.63099
212, 160.94492, -22.01306, 53.43750, 28.63099
213, 161.04279, -20.17754, 54.84375, 30.00000
214, 158.99624, -21.68714, 52.03125, 30.00000
215, 159.11486, -19.84953, 53.43750, 31.38817
216, 156.61463, -24.94619, 47.81250, 28.63099
217, 156.86813, -23.12303, 49.21875, 30.00000
218, 154.65760, -24.48028, 46.40625, 30.00000
219, 154.93490, -22.65695, 47.81250, 31.38817
220, 157.06408, -21.29104, 50.62500, 31.38817
221, 157.20201, -19.45046, 52.03125, 32.79717
222, 155.15163, -20.82285, 49.21875, 32.79717
223, 155.30725, -18.97817, 50.62500, 34.22887
224, 150.89244, -31.10584, 39.37500, 25.94448
225, 151.44809, -29.33590, 40.78125, 27.27961
226, 148.88500, -30.48160, 37.96875, 27.27961
227, 149.47128, -28.71830, 39.37500, 28.63099
228, 151.93843, -27.55176, 42.18750, 28.63099
229, 152.36454, -25.75384, 43.59375, 30.00000
230, 149.98970, -26.93860, 40.78125, 30.00000
231, 150.44128, -25.14291, 42.18750, 31.38817
232, 146.92057, -29.78678, 36.56250, 28.63099
233, 147.53482, -28.02939, 37.96875, 30.00000
234, 145.00277, -29.02113, 35.15625, 30.00000
235, 145.64225, -27.26864, 36.56250, 31.38817
236, 148.07886, -26.25322, 39.37500, 31.38817
237, 148.55360, -24.45867, 40.78125, 32.79717
238, 146.20936, -25.49484, 37.96875, 32.79717
239, 146.70487, -23.70004, 39.37500, 34.22887
240, 152.72711, -23.94253, 45.00000, 31.38817
241, 153.02636, -22.11808, 46.40625, 32.79717
242, 150.82662, -23.33155, 43.59375, 32.79717
243, 151.14583, -21.50475, 45.00000, 34.22887
244, 153.26208, -20.28069, 47.81250, 34.22887
245, 153.43359, -18.43049, 49.21875, 35.68533
246, 151.39858, -19.66262, 46.40625, 35.68533
247, 151.58404, -17.80515, 47.81250, 37.16890
248, 148.95951, -22.64598, 42.18750, 34.22887
249, 149.29656, -20.81529, 43.59375, 35.68533
250, 147.12906, -21.88440, 40.78125, 35.68533
251, 147.48172, -20.04794, 42.18750, 37.16890
252, 149.56425, -18.96660, 45.00000, 37.16890
253, 149.76153, -17.09976, 46.40625, 38.68219
254, 147.76212, -18.19050, 43.59375, 38.68219
255, 147.96893, -16.31172, 45.00000, 40.22818
256, 176.54718, -18.67273, 67.50000, 20.74238
257, 176.39182, -16.84626, 68.90625, 22.02431
258, 174.61950, -18.83415, 66.09375, 22.02431
259, 174.48393, -17.00645, 67.50000, 23.31796
260, 176.20488, -15.02285, 70.31250, 23.31796
261, 175.98461, -13.20297, 71.71875, 24.62432
262, 174.31407, -15.18136, 68.90625, 24.62432
263, 174.10821, -13.35936, 70.31250, 25.94448
264, 172.68634, -18.94225, 64.68750, 23.31796
265, 172.57047, -17.11319, 66.09375, 24.62432
266, 170.74953, -18.99460, 63.28125, 24.62432
267, 170.65314, -17.16400, 64.68750, 25.94448
268, 172.41753, -15.28620, 67.50000, 25.94448
269, 172.22585, -13.46172, 68.90625, 27.27961
270, 170.51682, -15.33478, 66.09375, 27.27961
271, 170.33890, -13.50739, 67.50000, 28.63099
272, 175.72909, -11.38717, 73.12500, 25.94448
273, 175.43620, -9.57602, 74.53125, 27.27961
274, 173.86445, -11.54097, 71.71875, 27.27961
275, 173.58064, -9.72680, 73.12500, 28.63099
276, 175.10360, -7.77022, 75.93750, 28.63099
277, 174.72870, -5.97050, 77.34375, 30.00000
278, 173.25440, -7.91749, 74.53125, 30.00000
279, 172.88308, -6.11381, 75.93750, 31.38817
280, 171.99349, -11.64030, 70.31250, 28.63099
281, 171.71830, -9.82249, 71.71875, 30.00000
282, 170.11745, -11.68234, 68.90625, 30.00000
283, 169.85024, -9.86020, 70.31250, 31.38817
284, 171.39782, -8.00897, 73.12500, 31.38817
285, 171.02930, -6.20045, 74.53125, 32.79717
286, 169.53475, -8.04159, 71.71875, 32.79717
287, 169.16808, -6.22723, 73.12500, 34.22887
288, 168.81113, -18.98880, 61.87500, 25.94448
289, 168.73381, -17.15638, 63.28125, 27.27961
290, 166.87334, -18.92249, 60.46875, 27.27961
291, 166.81452, -17.08785, 61.87500, 28.63099
292, 168.61363, -15.32452, 64.68750, 28.63099
293, 168.44892, -13.49365, 66.09375, 30.00000
294, 166.70985, -15.25280, 63.28125, 30.00000
295, 166.55762, -13.41777, 64.68750, 31.38817
296, 164.93853, -18.79331, 59.06250, 28.63099
297, 164.89748, -16.95593, 60.46875, 30.00000
298, 163.00922, -18.59895, 57.65625, 30.00000
